Edition,,US,US,US,US,US,US,US,UK,US,UK,CA,AU,US,CA,UK,AU,CA,US,CA,UK,AU,INTL,US,UK,US
Cards Against Humanity: Main Deck,Special,KICKSTARTER,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.5,v1.6,v1.6,v1.6,v1.6,v1.7,v1.7,v1.7,v1.7,v1.7a,v2.0,v2.0,v2.0,v2.0,v2.0,v2.1,v2.1,v2.2
END_HEADER,,,,,,,,,,,,,,,,,,,,,,,,,,
______ + ______ = ______.,3,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,t,t,t
______ is a slippery slope that leads to ______.,2,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,t,t,t
______ would be woefully incomplete without ______.,2,,,,,,,,,,,,,,,,,,,,,,t,,,
______: good to the last drop.,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,,,,,,,
"______: kid tested, mother approved.",,t,,,,,,,,,,,,,,,,,,,,,,,,
"______: kid-tested, mother-approved.",,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,t,t,t
"______: Once you pop, the fun don't stop!",,,,,,,,,t,,t,,,,,t,,,,,t,,,,t,
______? Jim'll fix it!,,,,,,,,,t,,t,,,,,t,,,,,t,,,,t,
______? There's an app for that.,,t,t,t,t,,,,,,,,,,,,,,,,,,,,,
"______? Yeah, nah.",,,,,,,,,,,,,,,,,,,,,,t,,,,
"______. Awesome in theory, kind of a mess in practice.",,,,,,,,,,,,,,,,,,,,,,,t,,,
______. Betcha can't have just one!,,,t,t,t,t,t,t,,t,,t,t,t,t,,t,t,t,t,,t,,t,,t
"______. High five, bro.",,t,t,t,t,t,t,t,,t,,t,t,t,t,,t,t,t,t,,t,,t,,t
______. It's a trap!,,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
______. That was so metal.,,,,,,,,,,,,,,t,t,t,t,t,t,t,t,t,,t,t,t
______. That's how I want to die.,,t,t,,t,t,t,t,t,t,t,t,t,,,,,,,,,,,,,
______. That's why mums go to Iceland.,,,,,,,,,t,,t,,,,,t,,,,,t,,,,t,
"★✰✰✰✰ Do NOT go here! Found _____ in my Kung Pao chicken! ",,,,,,,,,,,,,,,,,,,t,t,,t,,t,,
50% of all marriages end in ______.,,,,,,,,,,,,,,,,,,,t,t,t,t,,t,t,t
A recent laboratory study shows that undergraduates have 50% less sex after being exposed to ______.,,,,,,,,,,t,t,t,t,t,t,t,t,t,t,t,t,t,,t,t,t
A remarkable new study has shown that chimps have evolved their own primitive version of ______.,,,,,,,,,,,,,,,,,,,,,,,t,,,
A romantic candlelit dinner would be incomplete without ______.,,t,,,,,,,,,,,,,,,,,,,,,,,,
"A romantic, candlelit dinner would be incomplete without ______.",,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
A successful job interview begins with a firm handshake and ends with ______.,,,,,,,,,,,,,,,,,,,,,,,t,,,
"ABC presents: ""______: The Story of ______.""",2,,,,,,,,,,,,t,,,,t,,,,,t,,,,
